arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"n8 [sparse, n8]",39,0.241,1.0,,189.875,0.103,0.015
"n8 [sparse, n8]",40,0.353,1.0,0.1,174.906,0.101,0.014
"n8 [sparse, n8]",41,0.248,1.0,,184.328,0.098,0.014
"n8 [sparse, n8]",42,0.248,1.0,,179.039,0.113,0.016
"n8 [sparse, n8]",43,0.339,1.0,,180.219,0.11,0.015
"n8 [sparse, n8]",44,0.311,1.0,,178.062,0.099,0.013
"n8 [sparse, n8]",45,0.466,1.0,,169.492,0.107,0.013
"n8 [sparse, n8]",46,0.241,1.0,,188.688,0.099,0.014
"n8 [sparse, n8]",47,0.409,1.0,,177.352,0.107,0.015
"n8 [sparse, n8]",48,0.248,1.0,,184.172,0.119,0.015
"n8 [sparse, n8]",49,0.325,1.0,,173.703,0.112,0.014
"n8 [sparse, n8]",50,0.339,1.0,,174.789,0.091,0.012
"n8 [sparse, n8]",51,0.346,1.0,,186.242,0.104,0.018
"n8 [sparse, n8]",52,0.276,1.0,,186.898,0.101,0.015
"n8 [sparse, n8]",53,0.248,1.0,,179.961,0.119,0.013
"n8 [sparse, n8]",54,0.311,1.0,,183.938,0.123,0.013
"n8 [sparse, n8]",55,0.437,1.0,,164.93,0.127,0.012
"n8 [sparse, n8]",56,0.283,1.0,,182.961,0.105,0.015
"n8 [sparse, n8]",57,0.304,1.0,,176.547,0.134,0.012
"n8 [sparse, n8]",58,0.346,1.0,,178.648,0.111,0.013
"n8 [sparse, n8]",59,0.283,1.0,,177.562,0.1,0.015
"n8 [sparse, n8]",60,0.388,1.0,0.1,173.711,0.103,0.013
"n8 [sparse, n8]",61,0.269,1.0,,177.133,0.106,0.012
"n8 [sparse, n8]",62,0.388,1.0,,177.828,0.103,0.013
"n8 [sparse, n8]",63,0.318,1.0,,173.023,0.102,0.012
"n8 [sparse, n8]",64,0.438,1.0,,174.07,0.128,0.011
"n8 [sparse, n8]",65,0.29,1.0,,169.289,0.136,0.012
"n8 [sparse, n8]",66,0.487,1.0,,163.82,0.1,0.011
"n8 [sparse, n8]",67,0.198,1.0,,187.211,0.117,0.012
"n8 [sparse, n8]",68,0.381,1.0,,183.523,0.115,0.01
"n8 [sparse, n8]",69,0.283,1.0,,177.164,0.103,0.013
"n8 [sparse, n8]",70,0.234,1.0,,178.469,0.114,0.011
"n8 [sparse, n8]",71,0.276,1.0,,181.258,0.113,0.011
"n8 [sparse, n8]",72,0.487,1.0,,179.68,0.111,0.011
"n8 [sparse, n8]",73,0.325,1.0,,175.516,0.112,0.014
"n8 [sparse, n8]",74,0.29,1.0,,185.844,0.104,0.011
"n8 [sparse, n8]",75,0.283,1.0,,182.117,0.114,0.012
"n8 [sparse, n8]",76,0.29,1.0,,183.383,0.1,0.012
"n8 [sparse, n8]",77,0.177,1.0,,186.727,0.096,0.011
"n8 [sparse, n8]",78,0.367,1.0,,174.742,0.146,0.01
"n8 [sparse, n8]",79,0.423,1.0,,182.234,0.106,0.01
"n8 [sparse, n8]",80,0.459,1.0,0.118,179.641,0.11,0.011
"n8 [sparse, n8]",81,0.374,1.0,,179.711,0.12,0.012
"n8 [sparse, n8]",82,0.29,1.0,,178.969,0.114,0.012
"shaped [shaped, n4]",0,,,0.417,,,
"shaped [shaped, n4]",1,0.564,1.0,,192.516,0.0,0.02
"shaped [shaped, n4]",2,0.428,1.0,,201.875,0.0,0.02
"shaped [shaped, n4]",3,0.476,1.0,,201.484,0.0,0.02
"shaped [shaped, n4]",4,0.51,1.0,,195.375,0.0,0.02
