arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
SFT-GRPO,58,0.225,1.0,,114.969,0.204,0.037
SFT-GRPO,59,0.316,1.0,,110.422,0.29,0.037
SFT-GRPO,60,0.219,1.0,0.109,113.953,0.261,0.041
SFT-GRPO,61,0.166,1.0,,120.391,0.284,0.046
SFT-GRPO,62,0.241,1.0,,117.375,0.272,0.034
SFT-GRPO,63,0.227,1.0,,118.969,0.223,0.04
SFT-GRPO,64,0.283,1.0,,113.25,0.262,0.062
SFT-GRPO,65,0.227,1.0,,152.578,0.315,0.089
SFT-GRPO,66,0.353,1.0,,145.094,0.403,0.081
SFT-GRPO,67,0.227,1.0,,139.172,0.31,0.053
SFT-GRPO,68,0.213,1.0,,115.344,0.224,0.042
SFT-GRPO,69,0.198,1.0,,117.062,0.365,0.042
SFT-GRPO,70,0.395,1.0,,111.641,0.243,0.072
SFT-GRPO,71,0.17,1.0,,116.703,0.228,0.035
SFT-GRPO,72,0.128,1.0,,117.797,0.265,0.035
SFT-GRPO,73,0.142,1.0,,117.703,0.258,0.04
SFT-GRPO,74,0.142,1.0,,121.031,0.245,0.036
SFT-GRPO,75,0.184,1.0,,115.875,0.223,0.033
SFT-GRPO,76,0.241,1.0,,114.234,0.231,0.033
SFT-GRPO,77,0.142,1.0,,118.422,0.28,0.036
SFT-GRPO,78,0.241,1.0,,111.844,0.229,0.035
SFT-GRPO,79,0.269,1.0,,115.172,0.238,0.032
SFT-GRPO,80,0.367,1.0,0.1,108.938,0.25,0.033
SFT-GRPO,81,0.255,1.0,,114.938,0.245,0.029
SFT-GRPO,82,0.198,1.0,,112.234,0.229,0.033
SFT-GRPO,83,0.241,1.0,,110.109,0.249,0.03
SFT-GRPO,84,0.17,1.0,,119.156,0.212,0.032
SFT-GRPO,85,0.198,1.0,,115.203,0.247,0.032
SFT-GRPO,86,0.269,1.0,,106.734,0.207,0.03
SFT-GRPO,87,0.255,1.0,,116.109,0.275,0.031
SFT-GRPO,88,0.409,1.0,,109.453,0.231,0.024
SFT-GRPO,89,0.269,1.0,,110.797,0.238,0.032
SFT-GRPO,90,0.241,1.0,,117.094,0.26,0.028
SFT-GRPO,91,0.241,1.0,,109.109,0.288,0.028
SFT-GRPO,92,0.325,1.0,,113.109,0.236,0.029
SFT-GRPO,93,0.241,1.0,,115.562,0.251,0.029
SFT-GRPO,94,0.213,1.0,,120.25,0.194,0.027
SFT-GRPO,95,0.255,1.0,,117.438,0.239,0.032
SFT-GRPO,96,0.381,1.0,,110.406,0.228,0.029
SFT-GRPO,97,0.297,1.0,,111.641,0.205,0.025
SFT-GRPO,98,0.297,1.0,,113.062,0.215,0.026
SFT-GRPO,99,0.325,1.0,,111.703,0.265,0.028
SFT-GRPO,100,0.311,1.0,0.118,117.062,0.208,0.029
SFT-GRPO,101,0.17,1.0,,119.703,0.227,0.03
SFT-GRPO,102,0.297,1.0,,112.797,0.211,0.028
SFT-GRPO,103,0.325,1.0,,115.094,0.23,0.028
SFT-GRPO,104,0.17,1.0,,118.672,0.231,0.029
SFT-GRPO,105,0.142,1.0,,116.844,0.22,0.03
SFT-GRPO,106,0.241,1.0,,118.938,0.219,0.025
SFT-GRPO,107,0.255,1.0,,115.234,0.214,0.028
SFT-GRPO,108,0.227,1.0,,114.734,0.25,0.027
SFT-GRPO,109,0.311,1.0,,111.969,0.208,0.024
SFT-GRPO,110,0.297,1.0,,114.969,0.256,0.027
SFT-GRPO,111,0.212,1.0,,112.328,0.196,0.026
SFT-GRPO,112,0.297,1.0,,115.531,0.248,0.024
SFT-GRPO,113,0.227,1.0,,118.359,0.196,0.025
SFT-GRPO,114,0.269,1.0,,113.672,0.227,0.029
SFT-GRPO,115,0.269,1.0,,112.453,0.218,0.027
SFT-GRPO,116,0.283,1.0,,111.562,0.257,0.029
SFT-GRPO,117,0.297,1.0,,113.438,0.27,0.027
SFT-GRPO,118,0.241,1.0,,122.797,0.217,0.033
SFT-GRPO,119,0.339,1.0,,105.109,0.228,0.022
SFT-GRPO,120,0.128,1.0,0.109,120.875,0.24,0.027
SFT-GRPO,121,0.269,1.0,,116.438,0.244,0.024
SFT-GRPO,122,0.227,1.0,,119.156,0.231,0.025
SFT-GRPO,123,0.227,1.0,,123.297,0.208,0.029
SFT-GRPO,124,0.438,1.0,,111.016,0.21,0.027
SFT-GRPO,125,0.269,1.0,,118.797,0.24,0.029
SFT-GRPO,126,0.198,1.0,,115.984,0.235,0.034
SFT-GRPO,127,0.198,1.0,,118.5,0.202,0.023
SFT-GRPO,128,0.283,1.0,,117.516,0.184,0.023
SFT-GRPO,129,0.269,1.0,,115.828,0.243,0.026
SFT-GRPO,130,0.381,1.0,,109.203,0.241,0.024
SFT-GRPO,131,0.367,1.0,,114.625,0.217,0.021
SFT-GRPO,132,0.339,1.0,,118.5,0.251,0.023
SFT-GRPO,133,0.381,1.0,,119.078,0.213,0.018
SFT-GRPO,134,0.227,1.0,,118.266,0.218,0.022
SFT-GRPO,135,0.283,1.0,,114.562,0.256,0.016
SFT-GRPO,136,0.184,1.0,,115.734,0.235,0.023
SFT-GRPO,137,0.353,1.0,,111.781,0.259,0.02
SFT-GRPO,138,0.128,1.0,,119.953,0.26,0.02
SFT-GRPO,139,0.367,1.0,,119.906,0.221,0.019
SFT-GRPO,140,0.381,1.0,0.1,115.062,0.26,0.021
SFT-GRPO,141,0.184,1.0,,117.984,0.275,0.019
SFT-GRPO,142,0.283,1.0,,118.359,0.218,0.027
SFT-GRPO,143,0.213,1.0,,114.391,0.232,0.016
SFT-GRPO,144,0.339,1.0,,109.922,0.274,0.016
SFT-GRPO,145,0.325,1.0,,113.969,0.261,0.015
SFT-GRPO,146,0.17,1.0,,119.219,0.258,0.022
SFT-GRPO,147,0.184,1.0,,110.531,0.313,0.02
SFT-GRPO,148,0.325,1.0,,111.797,0.26,0.018
SFT-GRPO,149,0.283,1.0,,111.344,0.208,0.014
SFT-GRPO,150,0.213,1.0,,113.969,0.248,0.016
SFT-GRPO,151,0.17,1.0,,117.562,0.241,0.014
SFT-GRPO,152,0.184,1.0,,115.75,0.233,0.015
SFT-GRPO,153,0.297,1.0,,118.078,0.228,0.02
SFT-GRPO,154,0.114,1.0,,117.312,0.275,0.014
SFT-GRPO,155,0.227,1.0,,116.391,0.233,0.018
SFT-GRPO,156,0.213,1.0,,119.781,0.247,0.017
SFT-GRPO,157,0.198,1.0,,115.328,0.24,0.016
SFT-GRPO,158,0.423,1.0,,116.391,0.272,0.017
SFT-GRPO,159,0.128,1.0,,120.062,0.239,0.018
SFT-GRPO,160,,,0.1,,,
